Precio,Tamaño de la propiedad,Dormitorios,Baños,Parqueos
229487.0,240.0,3.0,2.5,4.0
2200000.0,364.0,0.0,0.0,0.0
900000.0,400.0,3.0,2.5,0.0
1050000.0,408.0,4.0,4.5,3.0
980000.0,457.0,4.0,4.5,3.0
850000.0,482.0,4.0,4.5,3.0
410000.0,280.0,3.0,2.5,0.0
420000.0,250.0,4.0,3.5,5.0
1200000.0,363.0,4.0,2.5,4.0
780000.0,597.0,4.0,6.0,4.0
780000.0,597.0,4.0,6.0,4.0
330000.0,200.0,3.0,2.5,0.0
440000.0,345.0,3.0,2.5,4.0
980000.0,364.0,4.0,4.5,3.0
980000.0,364.0,4.0,4.5,3.0
980000.0,457.0,4.0,5.0,3.0
780000.0,370.0,3.0,4.0,4.0
980000.0,450.0,4.0,5.0,3.0
400000.0,250.0,3.0,3.0,4.0
1450000.0,750.0,5.0,6.0,5.0
240000.0,158.0,0.0,2.5,0.0
400000.0,250.0,3.0,3.5,5.0
400000.0,250.0,4.0,3.0,4.0
1030610.4,200.0,0.0,3.0,0.0
495000.0,374.0,5.0,3.5,3.0
490000.0,300.0,3.0,3.5,3.0
399990.0,364.0,4.0,3.0,4.0
399990.0,475.0,4.0,3.0,4.0
625000.0,605.0,3.0,3.5,0.0
980000.0,364.0,4.0,0.0,3.0
1400000.0,600.0,4.0,5.5,3.0
1450000.0,1417.0,4.0,5.0,5.0
425000.0,250.0,3.0,2.5,4.0
445000.0,250.0,4.0,3.0,5.0
960000.0,320.0,5.0,3.0,5.0
400000.0,272.0,4.0,3.0,4.0
1450000.0,364.0,3.0,3.0,3.0
625000.0,497.0,4.0,3.5,0.0
475000.0,330.0,3.0,4.0,3.0
480000.0,336.0,3.0,4.0,0.0
283710.0,194.0,3.0,0.0,0.0
3500000.0,800.0,5.0,5.0,6.0
341250.0,174.0,3.0,0.0,0.0
1250000.0,590.0,5.0,5.0,3.0
1400000.0,597.0,4.0,4.5,3.0
625000.0,497.0,3.0,3.5,0.0
3000000.0,700.0,5.0,6.0,5.0
495000.0,400.0,4.0,4.0,3.0
369203.0,358.0,4.0,0.0,6.0
1200000.0,365.0,4.0,0.0,4.0
1290000.0,364.0,0.0,0.0,6.0
1250000.0,441.0,4.0,4.0,4.0
400000.0,300.0,5.0,3.5,3.0
625000.0,497.0,4.0,4.0,0.0
780000.0,222.0,4.0,1.0,3.0
850000.0,450.0,7.0,7.0,0.0
365000.0,360.0,5.0,5.0,4.0
1200000.0,363.0,3.0,0.0,0.0
1655000.0,800.0,5.0,3.0,4.0
400000.0,338.0,3.0,3.5,0.0
791975.0,506.0,4.0,4.5,4.0
626845.0,387.0,3.0,3.5,3.0
697118.5,364.0,4.0,4.5,4.0
400000.0,280.0,4.0,3.0,0.0
310000.0,170.0,3.0,0.0,3.0
650000.0,400.0,4.0,5.0,4.0
1200000.0,363.0,4.0,0.0,0.0
1200000.0,363.0,4.0,0.0,4.0
1250000.0,363.0,4.0,2.5,4.0
1550000.0,1050.0,21.0,0.0,6.0
780000.0,360.0,4.0,5.0,0.0
375000.0,285.0,3.0,2.5,3.0
1650000.0,546.0,3.0,3.0,0.0
1500000.0,725.0,5.0,4.5,5.0
330000.0,245.0,4.0,4.0,0.0
1400000.0,597.0,4.0,4.0,3.0
